source,text,doc_name,chunk_id
국기연_발간물,공 란 C ontents 1 제 장 총 론····················································································································1 제1절 개 요···················································································································2 제2절 추진방안··············································································································4 제3절 추진절차··············································································································6 2 제 장 국방전략기술 분야별 핵심기술 분석·······························································15 제1절 개요 및 현황···································································································16 제2절 자율·인공지능 기반 감시정찰 분야·································································17 제3절 초연결 지능형 지휘통제 분야·········································································37 제4절 초고속·고위력 정밀타격 분야·········································································62 제5절 미래형 추진 및 스텔스 기반 플랫폼 분야······················································77 제6절 유·무인 복합 전투수행 분야···········································································99 제7절 첨단기술 기반 개인전투체계 분야································································117 제8절 사이버 능동대응 및 미래형 방호 분야·························································123 제9절 미래형 첨단 신기술 분야··············································································140 3 제 장 핵심기술 과제화······························································································151 제1절 추진현황 및 계획····························································································152 제2절 지휘통제·통신 분야·························································································156 제3절 감시정찰 분야·································································································162 제4절 기동 분야········································································································170 제5절 함정 분야········································································································176 제6절 항공 분야········································································································182 제7절 화력 분야········································································································189 제8절 방호 분야········································································································201 제9절 기타·················································································································207 4 제 장 핵심기술과제 카드··························································································210 약어············································································································································342 1 제 장 총 론 제1절 개 요 2 제2절 추진방안 4 제3절 추진절차 6 346-1 공 란 1 개 요 제 절 01 / 문서의 역할 가.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",0
국기연_발간물,"핵심기술기획서는 ｢국방과학기술진흥정책서｣의 국방과학기술 발전방향에 근거하여, 군사적 요구능력과 국가과학기술의 국방 분야 중점과학기술을 기초로 도출된 국방 전략기술 분야에 대한 구체적인 기술개발 방향 및 확보방안을 제시하는 문서임 나.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",1
국기연_발간물,"본 문서는 국방기본정책서, 합동군사전략서 및 합동군사전략목표기획서를 근간으로 결정된 중·장기 무기체계 소요 중 연구개발 무기체계와 미래 첨단무기체계 발전추세를 고려하여 핵심기술1)을 식별하고 목표 지향적 연구개발 로드맵, 핵심기술 과제 및 각 과제별 연구개발 주도 형태를 제시하는 문서임 다.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",2
국기연_발간물,본 문서는 기획대상 무기체계 WBS 기반 조사·분석 결과를 활용한 국방과학기술 확보계획 및 핵심기술 과제목록을 제시함 「핵심기술 연구개발 업무처리 지침」 제7조(핵심기술기획서 작성) ② 핵심기술기획서에 포함할 사항은 다음 각호와 같다.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",3
국기연_발간물,국방과학기술 확보계획(중장기 기술확보 로드맵) 2.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",4
국기연_발간물,핵심기술개발 과제 목록 ③ 기품원장은 WBS 기반 조사·분석 결과를 활용하여 핵심기술기획서(안)을 작성한다.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",5
국기연_발간물,방위사업법 제18조(연구개발) 나.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",6
국기연_발간물,방위사업법 시행규칙 제10조(연구개발의 절차 등) 다.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",7
국기연_발간물,핵심기술 연구개발 업무처리 지침 제7조(핵심기술기획서 작성) 1) 핵심기술 : 합동군사전략목표기획서(JSOP)에 수록된 무기체계 또는 미래 무기체계의 국내개발 또는 생산에 필요한 고도․ 첨단기술로서 선진 외국에서 기개발되어 기술이전을 회피하거나 국가안보차원에서 반드시 확보가 요구되는 기술로 기초연구․ 응용연구․시험개발 단계로 구분하여 수행(출처:핵심기술 연구개발 업무처리 지침) 346-2 03 / 문서 체계 가.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",8
국기연_발간물,"본 문서는 국방과학기술진흥정책서, 합동군사전략목표기획서를 근거로 작성 나.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",9
국기연_발간물,본 문서는 국방과학기술진흥실행계획과 연계하여 작성 다.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",10
국기연_발간물,본 문서는 국방중기계획 수립의 근거 제공 346-3 2 추진방안 제 절 ㅋ 01 / 추진개념 ➀ (국방과학기술 정책) 국방전략기술 8대 분야 및 140개 국방전략기술 제시 *국방과학기술진흥정책서 Ⅳ장국방과학기술 발전방향 ➁ (국방전략기술 분야별 핵심기술 분석) 국방과학기술 정책과 연계한 핵심기술 추진방향 설정 및 국방전략기술 8대 분야 및 140개 국방전략기술의 확보방안 제시 ➂ (무기체계 WBS 기반 핵심기술 분석) 무기체계 WBS 조사·분석 기반의 핵심기술 분석결과를 반영한 중·장기 핵심기술로드맵 수립 ➃ (핵심기술 과제화) 중·장기 핵심기술로드맵과 핵심기술 과제제안 지침에 근거하여 매년 과제결정 결과를 포함한 핵심기술 추진계획 제시 346-4 02 / 추진중점 가.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",11
국기연_발간물,"(선택과 집중의 핵심기술기획) 중·장기 국방과학기술 정책, 미래 전장 환경 및 기술발전추세를 고려하여 선정된 국방전략기술 8대 분야2) 관련 기술 우선 기획/개발 추진 - 국방전략기술 8대 분야별 예상 목표성능과 旣 기획 과제간 격차 분석을 통해 국방전략기술별 중·장기 핵심기술기획 및 확보방안 제시 나.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",12
국기연_발간물,"(핵심전력 확보를 위한 핵심기술기획) 합참에서 선정한 4차 산업혁명 스마트 국방 혁신을 위한 핵심전력3) 확보를 위한 핵심기술 기획 추진 - 무기체계 WBS 조사·분석 기반 핵심기술로드맵 수립을 통해 무기체계 개발에 필요한 핵심 기술의 누락 최소화 및 핵심전력 적기 전력화에 기여 2) 국방전략기술 분야 : 국방 목표 달성을 위해 전략적 연구개발이 필요한 기술 분야로서 국방에 적용가능한 성숙한 민간 신기술도 포함(출처 : 2019∼2033 국방과학기술진흥정책서, 국방부) 3) 핵심전력 : 미래 전장에서 도약적 우위 확보에 결정적으로 기여할 수 있는 전력으로 위협 대응능력 여부, 국내 기술수준, 국내 산업 인프라 등을 고려하여 선정(4차 산업혁명 스마트 혁신 추진단, 합참) (출처 : 2020년 국방과학기술진흥실행계획, ’22∼’51 장기무기체계발전방향) 346-5 3 추진절차 제 절 346-6 01 / 국방전략기술 8대 분야별 핵심기술 분석 가.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",13
국기연_발간물,"국방전략기술 8대 분야별 발전방향 분석(A-1) - 국방전략기술 8대 분야별 개념 및 발전방향 분석 * 국방전략기술 8대 분야별 목표능력, 현재 능력 대비 미래 핵심기술 확보 전략 분석 - 국방 전략기술 8대 분야별 세부 목표 및 확보능력 분석 나.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",14
국기연_발간물,국방전략기술 분석(A-2) - 140개 국방전략기술별 기술 확보가 필요한 핵심기술 식별 및 핵심기술 과제 연계 다.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",15
국기연_발간물,"국방전략기술 로드맵 수립(A-3) - 국방전략기술별(140개) 확보시기, 연계 핵심기술, 핵심기술 과제 반영여부 및 적용체계 분석결과 로드맵 형태로 제시 [국방전략기술 로드맵] ➀국방전략기술명 ➁국방전략기술 명세 핵심기술/핵심기술과제 ➂핵심기술명 ➃핵심기술 명세 ➄ (반영과제) 000 000과제(응용, 21-25) ➀(국방전략기술명) 국방과학기술진흥정책서의 140개 국방전략기술 명칭 ➁(기술명세) 140개 국방전략기술의 정의, 설명, 원리, 역할 등을 포함한 명세 ➂(핵심기술명) 무기체계 WBS 조사·분석 결과 식별된 핵심기술 명칭 ➃(핵심기술 명세) 핵심기술의 정의, 설명, 원리, 역할 등을 포함한 명세 ➄(반영과제) 핵심기술 확보와 연계된 핵심기술 과제명, 기술개발 단계 및 기간 *과제명 : 기 결정된 핵심기술과제 명 *핵심기술 개발 단계 및 구분 : 기초연구, 응용연구, 시험개발, 선도형 핵심기술, 핵심SW 등 *기간 : 핵심기술과제 개발기간(착수년도~종료년도) 346-7 02 / 무기체계 WBS 조사·분석 기반 핵심기술 분석 가.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",16
국기연_발간물,기획대상 무기체계 선정(B-1) - 합참에서 4차 산업혁명 스마트 혁신 추진단 활동을 통해 선정한 핵심전력의 기술 확보 로드맵을 수립하고자 기획대상 무기체계로 선정 *2020년 국방과학진흥실행계획(전략2-중점과제3.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",17
국기연_발간물,과학기술 기반 군 정예화를 위한 첨단기술 적용 확대) *핵심전력명은 비밀본 참고 - 핵심전력을 기준으로 무기체계 WBS 조사·분석을 통한 주요 구성품을 식별하고 핵심기술을 분석하여 무기체계별 핵심기술로드맵 수립 나.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",18
국기연_발간물,"무기체계 WBS 조사·분석(B-2) 1) 무기체계 개략적 요구능력, 유사무기체계 개발 국가, 형상, 주요제원 조사 *개략적 요구능력, 주요 제원 및 성능 등은 합참의 소요기획 문서 등을 참고하여 제시 [무기체계 개요 구성] 1) 개요 OOO을 이용하여 OOO 화되고 있는 OOO 타격 등 OOO에 효과적으로 대응이 가능 한 OOO체계임 OOO의 주요 요구능력은 다음과 같음 무기체계 개요 및 주요 요구능력 출력 : OOO 주요 요구능력 최대사거리 : OOO OOO 능력 * 대상체계의 목표성능 등 분석내용은 향후 개발과정에서 변경될 수 있음 모델명 HELLADS(미국) Iron Beam(이스라엘) MBDA(독일) 형상 유사무기체계 (체계명, 개발국가, 형상, 주요제원) 플랫폼 항공기 거치형 고정형 방식 고체레이저 광섬유레이저 광섬유레이저 제원 출력 50 kW 40 kW 40 kW 사거리 50 km(추정) 7 km 2 km 346-8 2) 무기체계 WBS 분석 *유사 무기체계 WBS를 고려하여 Level 4~5 정도의 무기체계 내용 분석 [무기체계 WBS 구성도 예시] 다.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",19
국기연_발간물,"무기체계 WBS 기반 핵심기술 분석(B-3) - WBS 조사·분석 기반으로 무기체계 주요 구성품에 대한 성능, 확보능력, 기술보유 현황 등을 분석하고 기술 확보가 필요한 핵심기술 식별 및 핵심기술 과제 연계 [핵심기술 목록] 핵심기술 및 핵심기술과제 ➃국방전략기술 ➀핵심기술명 연계 ➁핵심기술 명세 국방전략기술명 ➂ (반영과제) 000 000과제(응용, 21-25) ➀(핵심기술명) 무기체계 WBS 조사·분석 결과 식별된 핵심기술 명칭 ➁(핵심기술 명세) 핵심기술의 정의, 설명, 원리, 역할 등을 포함한 명세 ➂(반영과제) 핵심기술 확보와 연계된 핵심기술 과제명, 기술개발 단계 및 기간 *과제명 : 기 결정된 핵심기술과제 명 *핵심기술 개발 단계 및 구분 : 기초연구, 응용연구, 시험개발, 선도형 핵심기술, 핵심SW 등 *기간 : 핵심기술과제 개발기간(착수년도~종료년도) ➃(국방전략기술) 핵심기술과 연계된 국방전략기술 명칭 346-9 라.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",20
국기연_발간물,"핵심기술로드맵 수립(B-4) [핵심기술로드맵] ➀(전력화 시기) 무기체계 전력화 시기 및 체계개발 예상시기 ➁(WBS Lv) 핵심기술이 식별된 무기체계 WBS 주요 레벨(Lv 2~5) ➂(핵심기술) 무기체계 WBS 조사·분석 결과 식별된 핵심기술 명칭 ➃(범례) 핵심기술 확보방안, 과제 반영여부 및 ’20년 이전 착수기술 정보 표시과제 현황 346-10 03 / 핵심기술 과제화 ※ 「핵심기술 연구개발 업무처리 지침」 전부개정(’20.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",21
국기연_발간물,"9.) 부칙 제2조(일반적 경과조치), 제3조(신규과제 결정 및 관리 경과조치)에 따라 개정 전 지침(’20.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",22
국기연_발간물,2.27.)으로 과제 검토를 수행함 [’20년 핵심기술과제 추진절차] 가.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",23
국기연_발간물,핵심기술과제 공모지침 수립/배포(C-1) - 방사청(국방기술보호국장)은 국방과학기술 정책과 핵심기술과제 공모대상 기술이 반영된 지침을 작성하여 제안기관에 통보 나.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",24
국기연_발간물,"핵심기술과제 제안/검토/결정(C-2) 1) 핵심기술과제 제안 - 합참은 각 군으로부터 제출받은 과제와 자체 도출한 과제를 종합 후 방사청으로 제안 - 국방부(직할부대)는 자체 도출한 과제를 종합 후 방사청으로 제안 - 국과연(방산기술센터 포함), 기품원은 자체 도출한 핵심기술과제를 방사청으로 제안 - 기품원은 산·학·연으로부터 제출받은 핵심기술과제를 종합하여 제출 - 사업본부는 해당 IPT별로 선행연구 및 방위력개선사업 수행 간 식별된 과제를 국방기술 보호국으로 제안 346-11 ☞핵심기술과제 제안 대상 *「핵심기술 연구개발 업무처리 지침」 제5조(핵심기술 소요제기) 제4항 1.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",25
국기연_발간물,장기무기체계발전방향에서 제시된 무기체계 개발에 필요한 핵심기술 2.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",26
국기연_발간물,장기 소요로 결정된 무기체계 개발에 필요한 핵심기술 3.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",27
국기연_발간물,무기체계 발전추세 등을 고려시 장차 소요가 예상되는 핵심기술 4.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",28
국기연_발간물,군 전력혁신에 필요한 핵심기술 5.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",29
국기연_발간물,미래전장을 선도하고 기술개발 파급효과가 클 것으로 예상되는 핵심기술 6.,"'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",30
국기연_발간물,"선진 외국에서 기술이전을 회피하는 핵심기술 등 2) 핵심기술과제 검토 - 기품원은 핵심기술 과제검토를 위해 핵심기술기획팀을 구성 및 운영 - 핵심기술기획팀은 방사청, 국방부, 합참, 각 군, 기품원, 국과연 및 산·학·연 등 전문가들로 구성 - 핵심기술기획팀은 기 결정된 핵심기술과제와 신규 제안된 핵심기술과제에 대해 중･장기 로드맵 등 과제제안 지침을 고려하여 타당성을 검토하고 핵심기술 과제결정(안)을 작성 ☞핵심기술과제 검토 고려사항 *「핵심기술 연구개발 업무처리 지침」 제6조(핵심기술 소요검토) 제1항 1.","'21_'35 핵심기술기획서(일반본, DTiMS 탑재용).txt",31
